Designator,Quantity,Value,Manufacturer,Part Number,Note,Specification,Footprint

"C1, C4, C5, C12, C14, C16, C20, C35, C37","9","1.0µF","Cal-Chip Electronics, Inc.","GMC04X7R105K6R3NT","CAP CER 1UF 6.3V X7R 0402","1 µF ±10% 6.3V Ceramic Capacitor X7R 0402 (1005 Metric)","CAPC1005X04L"
"C11, C13, C15, C18, C28, C34, C36","7","100nF","Cal-Chip Electronics, Inc.","GMC02X7R104K16NT","CAP0201 X7R .1UF 10% 16V","0.1 µF ±10% 16V Ceramic Capacitor X7R 0201 (0603 Metric)","CAPC0603X03L_C"
"C17, C21","2","10µF","Cal-Chip Electronics, Inc.","GMC10X7R106M6R3NT","CAP CER 10UF 6.3V X7R 0603","10 µF ±20% 6.3V Ceramic Capacitor X7R 0603 (1608 Metric)","CAPC1608X06L"
"C23","1","2.2µF","Taiyo Yuden","EMK107BB7225KA-T","CAP CER 2.2UF 16V X7R 0603","2.2 µF ±10% 16V Ceramic Capacitor X7R 0603 (1608 Metric)","CAPC1608X06L"
"D1, D2, D5, D6","4","LY L29K-H1K2-26-0-2-R18-Z","ams-OSRAM USA INC.","LY L29K-H1K2-26-0-2-R18-Z","LED YELLOW DIFFUSED 0603 SMD","Yellow 587nm LED Indication - Discrete 1.8V 0603 (1608 Metric)","LED_0603"
"D3","1","LG L29K-F2J1-24-0-2-R18-Z","ams-OSRAM USA INC.","LG L29K-F2J1-24-0-2-R18-Z","LED GREEN DIFFUSED 0603 SMD","Yellow 587nm LED Indication - Discrete 1.8V 0603 (1608 Metric)","LED_0603"
"D4","1","LS L29K-G1J2-1-0-2-R18-Z","ams-OSRAM USA INC.","LS L29K-G1J2-1-0-2-R18-Z","LED RED DIFFUSED 0603 SMD","Red 630nm LED Indication - Discrete 1.8V 0603 (1608 Metric)","LED_0603"
"FB1","1","120R/0.2A","Murata","BLM03AG121SN1D","FERRITE BEAD 120 OHM 0201 1LN","120 Ohms @ 100 MHz 1 Ferrite Bead 0201 (0603 Metric) 200mA 500mOhm","INDC0603X03L_C"
"J1","1","BM28B0.6-30DS/2-0.35V(51)","Hirose Electric Co Ltd","BM28B0.6-30DS/2-0.35V(51)","CONN RCPT 30POS SMD GOLD","30 Position Connector Receptacle, Center Strip Contacts Surface Mount Gold","CONN30_HIR"
"J2","1","BM28B0.6-6DP/2-0.35V(51)","Hirose Electric Co Ltd","BM28B0.6-6DP/2-0.35V(51)","CONN HDR SMD GOLD","6 Position Connector Header, Outer Shroud Contacts Surface Mount Gold","HRS_BM28B0.6-6DP/2-0.35V(51)"
"J3","1","BM28B0.6-6DS/2-0.35V(51)","Hirose Electric Co Ltd","BM28B0.6-6DS/2-0.35V(51)","CONN RCPT SMD GOLD","6 Position Connector Receptacle, Center Strip Contacts Surface Mount Gold","HRS_BM28B0.6-6DS/2-0.35V(51)"
